Sales,Ship Mode,Segment,Region,Category,Sub-Category,Order Date,Ship Date,days_to_ship
479.94,Standard Class,Corporate,West,Technology,Accessories,2018-02-03,2018-08-03,181.0
45.66,Standard Class,Home Office,South,Office Supplies,Binders,2018-02-12,2018-06-12,120.0
264.32,Standard Class,Consumer,East,Office Supplies,Storage,2015-05-09,2015-10-09,153.0
129.93,Standard Class,Corporate,East,Furniture,Furnishings,2018-02-05,2018-07-05,150.0
42.048,Standard Class,Consumer,Central,Office Supplies,Art,2016-06-04,2016-10-04,122.0
25.488,Standard Class,Consumer,Central,Technology,Accessories,2016-06-04,2016-10-04,122.0
6.9,Standard Class,Consumer,Central,Office Supplies,Binders,2016-06-04,2016-10-04,122.0
9.648,Standard Class,Consumer,Central,Office Supplies,Binders,2016-06-04,2016-10-04,122.0
7.968,Standard Class,Consumer,Central,Office Supplies,Paper,2016-06-04,2016-10-04,122.0
46.32,First Class,Corporate,West,Technology,Accessories,2016-06-09,2016-08-09,61.0
25.12,Second Class,Consumer,West,Office Supplies,Binders,2018-01-11,2018-03-11,59.0
2665.62,Second Class,Consumer,West,Furniture,Tables,2018-01-11,2018-03-11,59.0
478.08,Standard Class,Corporate,East,Office Supplies,Storage,2018-07-09,2018-11-09,123.0
6.608,Standard Class,Corporate,Central,Office Supplies,Envelopes,2016-03-11,2016-10-11,214.0
5.98,Standard Class,Home Office,West,Office Supplies,Storage,2017-05-05,2017-09-05,123.0
246.168,Standard Class,Home Office,West,Technology,Phones,2017-05-05,2017-09-05,123.0
14.94,Same Day,Consumer,East,Office Supplies,Paper,2017-04-06,2017-04-06,0.0
1349.85,Same Day,Consumer,East,Technology,Machines,2017-04-06,2017-04-06,0.0
136.784,Same Day,Consumer,East,Furniture,Bookcases,2017-04-06,2017-04-06,0.0
61.12,Same Day,Consumer,East,Furniture,Furnishings,2017-04-06,2017-04-06,0.0
16.99,Standard Class,Home Office,West,Office Supplies,Art,2017-04-03,2017-10-03,183.0
5.78,Standard Class,Consumer,West,Office Supplies,Labels,2018-01-04,2018-05-04,120.0
121.68,Standard Class,Consumer,West,Office Supplies,Binders,2018-01-04,2018-05-04,120.0
25.92,Second Class,Corporate,Central,Office Supplies,Paper,2015-03-12,2015-06-12,92.0
4.928,Second Class,Corporate,South,Furniture,Furnishings,2016-05-07,2016-10-07,153.0
7.23,Second Class,Corporate,South,Office Supplies,Binders,2016-05-07,2016-10-07,153.0
57.69,Second Class,Consumer,Central,Furniture,Furnishings,2015-07-09,2015-12-09,153.0
42.81,Second Class,Consumer,Central,Office Supplies,Binders,2015-07-09,2015-12-09,153.0
12.96,Second Class,Consumer,Central,Office Supplies,Paper,2015-07-09,2015-12-09,153.0
821.88,Second Class,Consumer,Central,Furniture,Furnishings,2015-07-09,2015-12-09,153.0
104.85,Second Class,Consumer,Central,Technology,Phones,2015-07-09,2015-12-09,153.0
3.984,First Class,Consumer,South,Office Supplies,Labels,2017-01-05,2017-04-05,90.0
370.62,First Class,Consumer,South,Furniture,Tables,2017-01-05,2017-04-05,90.0
2.742,First Class,Consumer,South,Office Supplies,Binders,2017-01-05,2017-04-05,90.0
79.512,Same Day,Consumer,Central,Technology,Accessories,2017-01-10,2017-01-10,0.0
28.352,Same Day,Consumer,Central,Office Supplies,Paper,2017-01-10,2017-01-10,0.0
166.44,Second Class,Corporate,East,Office Supplies,Paper,2015-09-09,2015-12-09,91.0
785.88,Second Class,Corporate,East,Furniture,Chairs,2015-09-09,2015-12-09,91.0
26.2,Second Class,Corporate,East,Office Supplies,Paper,2015-09-09,2015-12-09,91.0
1325.85,Second Class,Corporate,East,Office Supplies,Storage,2015-09-09,2015-12-09,91.0
166.44,Same Day,Consumer,West,Office Supplies,Paper,2018-03-12,2018-03-12,0.0
95.952,Standard Class,Consumer,South,Office Supplies,Envelopes,2017-06-09,2017-11-09,153.0
3.204,Standard Class,Consumer,South,Office Supplies,Binders,2017-06-09,2017-11-09,153.0
3.98,First Class,Consumer,Central,Office Supplies,Binders,2017-04-08,2017-05-08,30.0
5.346,Standard Class,Consumer,East,Office Supplies,Binders,2018-04-12,2018-08-12,122.0
30.352,First Class,Consumer,East,Office Supplies,Paper,2017-07-02,2017-09-02,62.0
45.888,First Class,Corporate,East,Furniture,Furnishings,2018-09-10,2018-11-10,61.0
13.9,Standard Class,Home Office,West,Office Supplies,Art,2016-01-12,2016-06-12,152.0
129.98,Standard Class,Corporate,East,Technology,Phones,2015-04-12,2015-08-12,122.0
23.976,Second Class,Consumer,Central,Furniture,Furnishings,2015-06-12,2015-08-12,61.0
8.376,Second Class,Corporate,South,Office Supplies,Fasteners,2015-04-11,2015-08-11,122.0
58.24,Second Class,Corporate,South,Office Supplies,Appliances,2015-04-11,2015-08-11,122.0
14.45,Standard Class,Consumer,West,Office Supplies,Labels,2015-04-10,2015-08-10,122.0
95.648,Standard Class,Consumer,West,Office Supplies,Binders,2015-04-10,2015-08-10,122.0
73.98,Standard Class,Consumer,East,Technology,Phones,2015-02-07,2015-06-07,120.0
5.58,Standard Class,Consumer,East,Office Supplies,Art,2015-02-07,2015-06-07,120.0
35.34,Standard Class,Consumer,West,Furniture,Furnishings,2015-04-11,2015-08-11,122.0
79.992,Second Class,Consumer,South,Technology,Accessories,2018-07-08,2018-11-08,123.0
8.226,Standard Class,Consumer,South,Office Supplies,Binders,2016-04-12,2016-08-12,122.0
423.28,Second Class,Consumer,West,Office Supplies,Storage,2015-08-08,2015-11-08,92.0
32.192,Standard Class,Consumer,Central,Office Supplies,Appliances,2016-02-04,2016-07-04,151.0
50.12,Standard Class,Consumer,Central,Technology,Accessories,2016-02-04,2016-07-04,151.0
47.976,Standard Class,Consumer,Central,Technology,Accessories,2016-02-04,2016-07-04,151.0
54.5,Standard Class,Consumer,Central,Office Supplies,Storage,2017-03-09,2017-10-09,214.0
19.104,First Class,Consumer,South,Furniture,Furnishings,2018-10-12,2018-12-12,61.0
59.2,First Class,Consumer,East,Office Supplies,Labels,2018-06-05,2018-08-05,61.0
23.988,Standard Class,Corporate,East,Technology,Phones,2017-05-11,2017-10-11,153.0
58.36,Standard Class,Corporate,Central,Furniture,Furnishings,2015-02-12,2015-06-12,120.0
16.464,Standard Class,Corporate,Central,Office Supplies,Art,2015-02-12,2015-06-12,120.0
39.96,Standard Class,Corporate,Central,Furniture,Furnishings,2015-02-12,2015-06-12,120.0
7.88,First Class,Consumer,West,Office Supplies,Art,2016-01-11,2016-04-11,91.0
41.37,Standard Class,Consumer,West,Furniture,Furnishings,2018-03-11,2018-08-11,153.0
47.516,Standard Class,Consumer,Central,Furniture,Chairs,2016-07-09,2016-11-09,123.0
114.6,Standard Class,Home Office,East,Office Supplies,Binders,2016-01-09,2016-08-09,213.0
60.74,Standard Class,Home Office,East,Furniture,Chairs,2016-01-09,2016-08-09,213.0
124.36,Standard Class,Home Office,East,Furniture,Furnishings,2016-01-09,2016-08-09,213.0
1088.76,Standard Class,Home Office,East,Office Supplies,Storage,2016-01-09,2016-08-09,213.0
6.72,First Class,Consumer,West,Office Supplies,Binders,2017-05-05,2017-08-05,92.0
298.776,First Class,Consumer,West,Furniture,Tables,2017-05-05,2017-08-05,92.0
443.92,Standard Class,Consumer,West,Office Supplies,Storage,2015-01-11,2015-05-11,120.0
155.976,Standard Class,Consumer,West,Technology,Phones,2015-01-11,2015-05-11,120.0
695.7,First Class,Consumer,South,Technology,Machines,2017-09-06,2017-12-06,91.0
120.33,Second Class,Corporate,East,Office Supplies,Storage,2016-03-09,2016-08-09,153.0
64.784,First Class,Corporate,East,Office Supplies,Storage,2017-02-06,2017-05-06,89.0
14.72,Second Class,Consumer,East,Office Supplies,Supplies,2017-10-11,2017-12-11,61.0
38.976,Second Class,Consumer,East,Office Supplies,Storage,2017-10-11,2017-12-11,61.0
23.85,Standard Class,Corporate,West,Office Supplies,Paper,2018-02-11,2018-06-11,120.0
959.968,Standard Class,Corporate,South,Technology,Copiers,2017-04-01,2017-09-01,153.0
8.56,Standard Class,Consumer,Central,Office Supplies,Paper,2018-03-11,2018-09-11,184.0
52.4,Standard Class,Consumer,Central,Office Supplies,Storage,2018-03-11,2018-09-11,184.0
14.94,Standard Class,Consumer,Central,Office Supplies,Labels,2018-03-11,2018-09-11,184.0
387.136,Standard Class,Consumer,South,Office Supplies,Appliances,2016-05-11,2016-09-11,123.0
19.9,First Class,Consumer,East,Office Supplies,Appliances,2015-02-09,2015-05-09,89.0
70.71,First Class,Consumer,East,Furniture,Furnishings,2015-02-09,2015-05-09,89.0
8.64,Standard Class,Consumer,Central,Office Supplies,Art,2018-04-06,2018-10-06,183.0
6.608,Same Day,Consumer,West,Office Supplies,Binders,2016-08-08,2016-08-08,0.0
7.28,Same Day,Consumer,West,Office Supplies,Binders,2016-08-08,2016-08-08,0.0
144.784,Same Day,Consumer,West,Furniture,Chairs,2016-08-08,2016-08-08,0.0
156.792,Standard Class,Consumer,West,Technology,Phones,2017-06-12,2017-12-12,183.0
431.976,Standard Class,Consumer,West,Technology,Phones,2017-06-12,2017-12-12,183.0
35.89,Standard Class,Consumer,West,Office Supplies,Envelopes,2017-06-12,2017-12-12,183.0
47.208,Standard Class,Consumer,West,Office Supplies,Binders,2017-06-12,2017-12-12,183.0
248.08,Standard Class,Consumer,West,Office Supplies,Paper,2017-06-12,2017-12-12,183.0
189.7,Standard Class,Consumer,West,Office Supplies,Paper,2017-06-12,2017-12-12,183.0
59.808,Standard Class,Consumer,West,Office Supplies,Binders,2017-06-12,2017-12-12,183.0
38.29,First Class,Consumer,West,Furniture,Furnishings,2017-04-11,2017-05-11,30.0
41.6,Same Day,Home Office,West,Technology,Accessories,2018-12-11,2018-12-11,0.0
23.12,Same Day,Home Office,West,Office Supplies,Paper,2018-12-11,2018-12-11,0.0
113.888,Same Day,Home Office,West,Furniture,Chairs,2018-12-11,2018-12-11,0.0
113.568,Same Day,Home Office,West,Furniture,Furnishings,2018-12-11,2018-12-11,0.0
7.92,Same Day,Home Office,West,Technology,Phones,2018-12-11,2018-12-11,0.0
671.984,Same Day,Home Office,West,Technology,Phones,2018-12-11,2018-12-11,0.0
2.313,Standard Class,Consumer,East,Office Supplies,Binders,2018-04-05,2018-09-05,153.0
499.584,Second Class,Consumer,South,Office Supplies,Appliances,2018-06-11,2018-09-11,92.0
31.104,Second Class,Consumer,South,Office Supplies,Paper,2018-06-11,2018-09-11,92.0
13.272,Second Class,Consumer,South,Office Supplies,Binders,2018-06-11,2018-09-11,92.0
28.272,Second Class,Consumer,South,Furniture,Furnishings,2018-06-11,2018-09-11,92.0
259.136,Second Class,Consumer,South,Office Supplies,Storage,2018-06-11,2018-09-11,92.0
244.006,Standard Class,Consumer,Central,Furniture,Tables,2016-07-05,2016-12-05,153.0
15.936,Standard Class,Consumer,Central,Office Supplies,Paper,2016-07-05,2016-12-05,153.0
188.552,Same Day,Corporate,East,Furniture,Chairs,2018-04-12,2018-04-12,0.0
22.58,Second Class,Consumer,East,Office Supplies,Storage,2018-03-10,2018-08-10,153.0
53.424,Second Class,Consumer,West,Office Supplies,Storage,2015-06-12,2015-11-12,153.0
275.49,Second Class,Consumer,West,Furniture,Tables,2015-06-12,2015-11-12,153.0
61.44,Standard Class,Corporate,East,Office Supplies,Appliances,2017-02-10,2017-06-10,120.0
19.0,Standard Class,Home Office,Central,Office Supplies,Binders,2016-05-07,2016-10-07,153.0
207.48,First Class,Home Office,East,Office Supplies,Appliances,2017-08-09,2017-10-09,61.0
191.82,First Class,Consumer,South,Furniture,Furnishings,2017-05-12,2017-06-12,31.0
171.288,Standard Class,Corporate,West,Furniture,Tables,2018-03-10,2018-08-10,153.0
16.72,Standard Class,Consumer,South,Furniture,Furnishings,2017-05-05,2017-09-05,123.0
12.96,Same Day,Home Office,West,Office Supplies,Paper,2018-11-09,2018-12-09,30.0
22.18,Same Day,Home Office,West,Office Supplies,Envelopes,2018-11-09,2018-12-09,30.0
2054.272,Same Day,Home Office,West,Furniture,Chairs,2018-11-09,2018-12-09,30.0
13.9,Second Class,Home Office,Central,Office Supplies,Art,2018-06-11,2018-10-11,122.0
26.38,Second Class,Home Office,Central,Office Supplies,Paper,2018-06-11,2018-10-11,122.0
411.8,First Class,Home Office,South,Furniture,Tables,2018-02-04,2018-04-04,59.0
360.0,First Class,Home Office,South,Technology,Accessories,2018-02-04,2018-04-04,59.0
41.96,Standard Class,Home Office,West,Furniture,Furnishings,2018-06-10,2018-11-10,153.0
227.84,Standard Class,Home Office,West,Office Supplies,Appliances,2018-06-10,2018-11-10,153.0
37.94,Standard Class,Home Office,West,Office Supplies,Paper,2018-06-10,2018-11-10,153.0
119.976,Standard Class,Corporate,East,Technology,Accessories,2017-07-11,2017-12-11,153.0
26.88,Standard Class,Consumer,Central,Office Supplies,Paper,2018-03-03,2018-07-03,122.0
114.46,First Class,Consumer,West,Office Supplies,Storage,2017-03-01,2017-05-01,61.0
120.666,Standard Class,Consumer,West,Furniture,Bookcases,2016-03-10,2016-08-10,153.0
12.96,First Class,Home Office,West,Office Supplies,Paper,2018-04-09,2018-05-09,30.0
43.176,First Class,Home Office,West,Technology,Phones,2018-04-09,2018-05-09,30.0
447.86,Standard Class,Consumer,East,Office Supplies,Binders,2017-03-03,2017-08-03,153.0
479.95,Standard Class,Consumer,East,Technology,Phones,2017-03-03,2017-08-03,153.0
166.44,Standard Class,Consumer,East,Office Supplies,Paper,2017-03-03,2017-08-03,153.0
12.957,Standard Class,Home Office,East,Office Supplies,Binders,2017-08-12,2017-12-12,122.0
1123.92,First Class,Corporate,South,Furniture,Chairs,2016-11-06,2016-12-06,30.0
249.584,First Class,Corporate,South,Technology,Phones,2016-11-06,2016-12-06,30.0
48.672,First Class,Corporate,South,Furniture,Furnishings,2016-11-06,2016-12-06,30.0
60.768,First Class,Corporate,South,Office Supplies,Art,2016-11-06,2016-12-06,30.0
78.6,First Class,Corporate,South,Office Supplies,Binders,2016-11-06,2016-12-06,30.0
3.768,First Class,Corporate,South,Office Supplies,Binders,2016-11-06,2016-12-06,30.0
1036.624,First Class,Corporate,South,Office Supplies,Storage,2016-11-06,2016-12-06,30.0
563.808,First Class,Corporate,South,Office Supplies,Storage,2016-11-06,2016-12-06,30.0
258.528,Standard Class,Consumer,East,Technology,Phones,2018-08-09,2018-12-09,122.0
49.12,Standard Class,Consumer,East,Office Supplies,Paper,2018-02-10,2018-06-10,120.0
210.392,Same Day,Corporate,Central,Office Supplies,Binders,2015-12-12,2015-12-12,0.0
347.802,Standard Class,Corporate,Central,Furniture,Chairs,2017-05-09,2017-11-09,184.0
32.4,First Class,Home Office,East,Office Supplies,Paper,2017-07-06,2017-10-06,92.0
93.024,Second Class,Home Office,West,Office Supplies,Paper,2015-03-08,2015-05-08,61.0
18.76,Same Day,Consumer,East,Office Supplies,Paper,2018-10-09,2018-10-09,0.0
20.94,Standard Class,Corporate,East,Furniture,Furnishings,2018-05-12,2018-11-12,184.0
58.68,Standard Class,Corporate,East,Furniture,Furnishings,2018-05-12,2018-11-12,184.0
254.9,Standard Class,Corporate,East,Office Supplies,Appliances,2018-05-12,2018-11-12,184.0
9.64,Second Class,Corporate,East,Office Supplies,Binders,2018-09-11,2018-12-11,91.0
826.62,Second Class,Corporate,East,Technology,Accessories,2018-09-11,2018-12-11,91.0
1633.14,Second Class,Corporate,East,Office Supplies,Storage,2018-09-11,2018-12-11,91.0
544.38,Second Class,Corporate,East,Office Supplies,Storage,2018-09-11,2018-12-11,91.0
26.046,First Class,Corporate,Central,Office Supplies,Binders,2015-07-11,2015-09-11,62.0
74.352,First Class,Corporate,Central,Office Supplies,Envelopes,2015-07-11,2015-09-11,62.0
65.99,Standard Class,Corporate,East,Technology,Phones,2018-02-10,2018-08-10,181.0
6.37,Standard Class,Corporate,Central,Office Supplies,Binders,2018-04-06,2018-08-06,122.0
3.648,First Class,Consumer,Central,Office Supplies,Binders,2015-01-09,2015-04-09,90.0
31.104,First Class,Consumer,Central,Office Supplies,Paper,2015-01-09,2015-04-09,90.0
3.366,Same Day,Consumer,West,Office Supplies,Binders,2016-10-07,2016-10-07,0.0
95.968,Standard Class,Consumer,South,Technology,Phones,2015-01-12,2015-07-12,181.0
75.18,First Class,Consumer,West,Office Supplies,Labels,2018-08-07,2018-10-07,61.0
94.85,Standard Class,Corporate,East,Office Supplies,Paper,2016-02-10,2016-08-10,182.0
51.12,Standard Class,Corporate,East,Office Supplies,Envelopes,2016-02-10,2016-08-10,182.0
90.0,Standard Class,Corporate,East,Technology,Accessories,2016-02-10,2016-08-10,182.0
9.408,First Class,Corporate,West,Office Supplies,Paper,2015-02-10,2015-05-10,89.0
4.672,First Class,Corporate,West,Office Supplies,Fasteners,2015-02-10,2015-05-10,89.0
318.4,First Class,Corporate,West,Technology,Phones,2015-02-10,2015-05-10,89.0
12.768,First Class,Corporate,West,Office Supplies,Envelopes,2015-02-10,2015-05-10,89.0
15.36,First Class,Corporate,West,Office Supplies,Supplies,2015-02-10,2015-05-10,89.0
230.376,First Class,Corporate,West,Technology,Phones,2015-02-10,2015-05-10,89.0
7.16,First Class,Corporate,West,Technology,Accessories,2015-02-10,2015-05-10,89.0
114.9,Second Class,Consumer,East,Furniture,Furnishings,2018-01-09,2018-05-09,120.0
44.94,Same Day,Consumer,East,Office Supplies,Storage,2017-02-05,2017-02-05,0.0
45.576,Same Day,Consumer,East,Office Supplies,Binders,2017-02-05,2017-02-05,0.0
56.45,First Class,Corporate,South,Office Supplies,Storage,2017-01-02,2017-03-02,59.0
219.8,Standard Class,Consumer,Central,Technology,Phones,2018-01-12,2018-05-12,120.0
317.058,Standard Class,Consumer,Central,Furniture,Chairs,2018-01-12,2018-05-12,120.0
49.08,Second Class,Corporate,West,Technology,Accessories,2018-10-12,2018-12-12,61.0
324.9,Second Class,Corporate,West,Office Supplies,Storage,2018-10-12,2018-12-12,61.0
18.24,Second Class,Corporate,West,Office Supplies,Art,2018-10-12,2018-12-12,61.0
10.08,Second Class,Corporate,South,Office Supplies,Labels,2017-04-03,2017-08-03,122.0
3359.952,Standard Class,Home Office,West,Technology,Copiers,2018-08-05,2018-12-05,122.0
18.24,Standard Class,Corporate,Central,Office Supplies,Fasteners,2018-02-11,2018-06-11,120.0
27.78,Standard Class,Corporate,Central,Office Supplies,Art,2018-02-11,2018-06-11,120.0
22.96,Second Class,Corporate,South,Office Supplies,Art,2015-05-04,2015-09-04,123.0
28.99,Second Class,Corporate,South,Technology,Phones,2015-05-04,2015-09-04,123.0
12.96,Second Class,Corporate,South,Office Supplies,Paper,2015-05-04,2015-09-04,123.0
22.96,Second Class,Corporate,South,Office Supplies,Art,2015-05-04,2015-09-04,123.0
4164.05,Second Class,Corporate,South,Office Supplies,Supplies,2015-05-04,2015-09-04,123.0
1704.89,First Class,Home Office,East,Technology,Machines,2018-01-10,2018-03-10,59.0
25.344,Standard Class,Corporate,East,Office Supplies,Binders,2016-05-11,2016-11-11,184.0
16.03,First Class,Corporate,Central,Office Supplies,Binders,2018-05-11,2018-07-11,61.0
3.208,Standard Class,Consumer,Central,Office Supplies,Binders,2017-06-05,2017-10-05,122.0
26.176,Standard Class,Consumer,Central,Technology,Accessories,2017-06-05,2017-10-05,122.0
30.44,Second Class,Home Office,East,Office Supplies,Paper,2016-04-06,2016-08-06,122.0
35.28,Second Class,Home Office,East,Furniture,Furnishings,2016-04-06,2016-08-06,122.0
28.44,Standard Class,Consumer,East,Furniture,Furnishings,2016-04-12,2016-10-12,183.0
364.41,Standard Class,Consumer,East,Furniture,Chairs,2016-04-12,2016-10-12,183.0
39.96,Standard Class,Consumer,East,Technology,Phones,2016-04-12,2016-10-12,183.0
361.764,Standard Class,Consumer,East,Furniture,Chairs,2016-04-12,2016-10-12,183.0
111.672,First Class,Corporate,Central,Office Supplies,Storage,2017-01-11,2017-04-11,90.0
17.94,Second Class,Consumer,East,Office Supplies,Envelopes,2016-04-12,2016-09-12,153.0
384.174,Second Class,Consumer,East,Furniture,Chairs,2016-04-12,2016-09-12,153.0
1799.75,Second Class,Consumer,East,Technology,Phones,2016-04-12,2016-09-12,153.0
580.672,Standard Class,Home Office,South,Office Supplies,Storage,2018-07-10,2018-11-10,123.0
18.936,Standard Class,Home Office,South,Office Supplies,Fasteners,2018-07-10,2018-11-10,123.0
222.384,Standard Class,Home Office,South,Technology,Phones,2018-07-10,2018-11-10,123.0
50.454,Standard Class,Home Office,South,Office Supplies,Binders,2018-07-10,2018-11-10,123.0
154.764,Standard Class,Home Office,South,Furniture,Tables,2018-07-10,2018-11-10,123.0
40.032,Same Day,Consumer,East,Office Supplies,Paper,2018-10-06,2018-10-06,0.0
443.92,Standard Class,Home Office,Central,Office Supplies,Storage,2018-01-07,2018-08-07,212.0
169.99,Standard Class,Home Office,Central,Office Supplies,Binders,2018-01-07,2018-08-07,212.0
25.92,Standard Class,Home Office,Central,Office Supplies,Paper,2018-01-07,2018-08-07,212.0
22.288,First Class,Corporate,Central,Furniture,Furnishings,2016-04-05,2016-05-05,30.0
1.81,Same Day,Consumer,Central,Office Supplies,Fasteners,2017-02-09,2017-02-09,0.0
8.26,Same Day,Consumer,Central,Office Supplies,Binders,2017-02-09,2017-02-09,0.0
32.896,Second Class,Home Office,East,Office Supplies,Paper,2018-03-07,2018-06-07,92.0
215.148,Second Class,Home Office,East,Furniture,Tables,2018-03-07,2018-06-07,92.0
30.96,Second Class,Home Office,East,Office Supplies,Paper,2018-03-07,2018-06-07,92.0
29.79,First Class,Consumer,West,Office Supplies,Storage,2018-08-12,2018-09-12,31.0
128.9,First Class,Consumer,West,Furniture,Furnishings,2018-08-12,2018-09-12,31.0
60.12,First Class,Consumer,West,Office Supplies,Paper,2018-08-12,2018-09-12,31.0
24.816,Standard Class,Consumer,West,Office Supplies,Binders,2018-05-12,2018-09-12,123.0
14.976,Standard Class,Consumer,West,Office Supplies,Binders,2018-05-12,2018-09-12,123.0
70.88,First Class,Corporate,East,Office Supplies,Paper,2017-06-08,2017-07-08,30.0
58.72,Second Class,Consumer,South,Office Supplies,Binders,2016-01-03,2016-02-03,31.0
492.768,Second Class,Corporate,Central,Technology,Phones,2018-05-11,2018-10-11,153.0
47.992,Second Class,Consumer,South,Technology,Accessories,2018-03-12,2018-05-12,61.0
47.952,Standard Class,Consumer,South,Office Supplies,Paper,2016-06-04,2016-10-04,122.0
16.74,Standard Class,Consumer,West,Furniture,Furnishings,2017-01-12,2017-05-12,120.0
180.98,Standard Class,Consumer,Central,Furniture,Chairs,2018-03-03,2018-10-03,214.0
99.98,Standard Class,Consumer,Central,Technology,Accessories,2018-03-03,2018-10-03,214.0
8.96,First Class,Consumer,South,Furniture,Furnishings,2015-07-04,2015-10-04,92.0
147.184,Standard Class,Home Office,South,Office Supplies,Storage,2018-05-09,2018-11-09,184.0
408.422,Standard Class,Consumer,Central,Furniture,Chairs,2016-02-07,2016-06-07,121.0
382.116,Standard Class,Consumer,Central,Furniture,Chairs,2016-02-07,2016-06-07,121.0
68.6,Standard Class,Consumer,Central,Office Supplies,Storage,2016-02-07,2016-06-07,121.0
435.504,Standard Class,Consumer,Central,Office Supplies,Storage,2016-02-07,2016-06-07,121.0
11.168,Standard Class,Consumer,Central,Office Supplies,Paper,2016-02-07,2016-06-07,121.0
10.368,Same Day,Consumer,Central,Office Supplies,Paper,2018-10-04,2018-10-04,0.0
95.736,Same Day,Consumer,Central,Technology,Accessories,2018-10-04,2018-10-04,0.0
825.174,First Class,Corporate,Central,Furniture,Bookcases,2018-04-09,2018-06-09,61.0
17.76,First Class,Corporate,Central,Office Supplies,Paper,2018-04-09,2018-06-09,61.0
6.912,First Class,Corporate,Central,Office Supplies,Art,2018-04-09,2018-06-09,61.0
30.816,First Class,Consumer,South,Office Supplies,Paper,2017-09-08,2017-12-08,91.0
44.784,First Class,Consumer,South,Technology,Phones,2017-09-08,2017-12-08,91.0
569.536,First Class,Consumer,South,Office Supplies,Appliances,2017-09-08,2017-12-08,91.0
116.0,Standard Class,Corporate,West,Technology,Accessories,2017-05-09,2017-10-09,153.0
83.25,Same Day,Corporate,South,Office Supplies,Storage,2015-09-05,2015-09-05,0.0
9.45,Same Day,Corporate,South,Office Supplies,Labels,2015-09-05,2015-09-05,0.0
20.65,Same Day,Corporate,South,Office Supplies,Labels,2015-09-05,2015-09-05,0.0
45.36,Same Day,Corporate,South,Office Supplies,Paper,2015-09-05,2015-09-05,0.0
45.36,Standard Class,Consumer,West,Office Supplies,Paper,2018-01-12,2018-05-12,120.0
10.128,Standard Class,Consumer,West,Office Supplies,Binders,2018-01-12,2018-05-12,120.0
21.792,Standard Class,Consumer,West,Office Supplies,Binders,2018-07-11,2018-12-11,153.0
439.8,Standard Class,Consumer,West,Technology,Accessories,2018-07-11,2018-12-11,153.0
8.256,Second Class,Consumer,East,Office Supplies,Art,2018-04-09,2018-09-09,153.0
25.56,Second Class,Consumer,East,Office Supplies,Binders,2018-04-09,2018-09-09,153.0
4.368,Second Class,Consumer,East,Office Supplies,Binders,2018-04-09,2018-09-09,153.0
11.52,Second Class,Consumer,East,Office Supplies,Paper,2018-04-09,2018-09-09,153.0
12.96,First Class,Consumer,West,Office Supplies,Paper,2017-03-07,2017-06-07,92.0
3.96,First Class,Consumer,West,Office Supplies,Fasteners,2017-03-07,2017-06-07,92.0
59.98,Same Day,Home Office,West,Technology,Accessories,2018-03-07,2018-03-07,0.0
2395.2,Same Day,Home Office,West,Technology,Machines,2018-03-07,2018-03-07,0.0
1687.8,Same Day,Home Office,West,Technology,Accessories,2018-03-07,2018-03-07,0.0
7.992,Same Day,Home Office,West,Technology,Phones,2018-03-07,2018-03-07,0.0
11.68,Standard Class,Consumer,East,Office Supplies,Art,2018-07-08,2018-12-08,153.0
104.8,Standard Class,Consumer,East,Office Supplies,Art,2018-07-08,2018-12-08,153.0
4.784,Standard Class,Home Office,West,Office Supplies,Binders,2017-07-06,2017-11-06,123.0
4.73,Standard Class,Home Office,West,Office Supplies,Paper,2017-07-06,2017-11-06,123.0
104.85,Standard Class,Consumer,Central,Office Supplies,Paper,2018-01-10,2018-07-10,181.0
5.96,Standard Class,Corporate,West,Office Supplies,Art,2018-03-09,2018-08-09,153.0
465.18,Second Class,Consumer,East,Office Supplies,Storage,2017-05-12,2017-07-12,61.0
16.448,Standard Class,Home Office,East,Office Supplies,Paper,2016-03-12,2016-08-12,153.0
36.784,Standard Class,Home Office,East,Technology,Accessories,2016-03-12,2016-08-12,153.0
9.555,Standard Class,Consumer,East,Office Supplies,Binders,2017-05-09,2017-09-09,123.0
487.984,Standard Class,Consumer,West,Office Supplies,Binders,2018-04-09,2018-08-09,122.0
5.56,Standard Class,Consumer,West,Technology,Phones,2018-04-09,2018-08-09,122.0
217.85,Standard Class,Consumer,West,Office Supplies,Storage,2018-04-09,2018-08-09,122.0
69.52,Second Class,Corporate,West,Office Supplies,Storage,2018-03-05,2018-08-05,153.0
763.44,Second Class,Corporate,West,Office Supplies,Storage,2018-03-05,2018-08-05,153.0
104.88,Second Class,Consumer,Central,Technology,Accessories,2018-09-12,2018-11-12,61.0
34.7,Second Class,Consumer,Central,Office Supplies,Art,2018-09-12,2018-11-12,61.0
33.72,Second Class,Consumer,Central,Office Supplies,Binders,2018-09-12,2018-11-12,61.0
14.94,Second Class,Consumer,Central,Office Supplies,Paper,2018-09-12,2018-11-12,61.0
258.9,Standard Class,Home Office,East,Technology,Accessories,2018-03-07,2018-09-07,184.0
24.56,Standard Class,Home Office,East,Office Supplies,Paper,2018-03-07,2018-09-07,184.0
127.372,Standard Class,Consumer,East,Furniture,Chairs,2018-06-11,2018-11-11,153.0
47.952,Standard Class,Consumer,East,Office Supplies,Paper,2018-06-11,2018-11-11,153.0
44.46,Standard Class,Corporate,West,Furniture,Furnishings,2016-05-12,2016-09-12,123.0
